⺮	ju<
利率	li ly
利瑪竇	li ma deu
利用	li yg
利益	li ih
利益衝突	li ih txug tuh
利益輸送	li ih xu sug
利益集團	li ih zih tuan
利眠寧	li mian nig
利祿	li lu
利祿薰心	li lu hyn sim
利納克斯	li nah keh s
利索	li sueh
利維坦	li ui tan
利茲	li z
利落	li lueh
利誘	li iu
利貼	li tieh
利賓納	li bin nah
利辛	li sin
利辛縣	li sin hian
利通區	li tug ky
利錢	li tsian
利隆圭	li lug cui
利雅得	li gia deh
利雅德	li gia deh
利馬	li ma
利馬竇	li ma deu
利馬索爾	li ma sueh er
利默里克	li mueh li keh
刪	xan/
刪剪	xan zian
刪去	xan ky
刪帖	xan tieh
刪掉	xan diau
刪改	xan cai
刪減	xan ciam
刪節	xan zieh
刪簡壓縮	xan cian iah sueh
刪除	xan txu
刮	cuah/
刮	lg<
刮傷	cuah xag
刮刀	cuah dau
刮刮卡	cuah cuah ka
刮刮叫	cuah cuah ciau
刮刮樂	cuah cuah le
刮勺	cuah xauh
刮掉	cuah diau
刮擦	cuah tsa
刮痧	cuah xa
刮皮刀	cuah pi dau
刮目相待	cuah muh siag dai
刮目相看	cuah muh siag kan
刮臉	cuah liam
刮蹭	cuah tsg
刮鏟	cuah txan
刮鬍刀	cuah hu dau
刮鬍子	cuah hu z
到	dau>
到不行	dau bu hig
到了	dau liau
到付	dau fu
到任	dau rm
到位	dau ui
到來	dau lai
到場	dau txag
到家	dau cia
到岸價	dau gan cia
到底	dau di
到得	dau deh
到手	dau xeu
到手軟	dau xeu ruan
到時	dau x
到時候	dau x heu
到期	dau ki
到期收益率	dau ki xeu ih ly
到期日	dau ki rh
到案	dau an
到此	dau ts
到此一遊	dau ts ih iu
到此為止	dau ts ui j
到現在	dau hian zai
到目前為止	dau muh tsian ui j
到處	dau txu
到處可見	dau txu ke cian
到訪	dau fag
到貨	dau hue
到賬	dau jag
到達	dau dah
到達大廳	dau dah da tig
到那個時候	dau na ce x heu
到頭	dau teu
到頭來	dau teu lai
到點	dau diam
到齊	dau tsi
刱	txuag/
刱	txuag>
刲	kui/
刳	ku/
刴	due>
刵	er>
制	j>
制伏	j fu
制動	j dug
制動器	j dug ki
制動踏板	j dug tah ban
制勝	j xg
制定	j dig
制導	j dau
制度	j du
制度化	j du hua
制式	j xh
制式化	j xh hua
制服	j fuh
制服呢	j fuh ni
制止	j j
制空權	j kug kyan
制約	j ye
制藥業	j iauh gieh
制衡	j hg
制裁	j tsai
制訂	j dig
制酸劑	j suan zi
制錢	j tsian
制霸	j ba
刷	kuh/
刷	xuah/
刷	xuah>
刷入	xuah ruh
刷劇	xuah cyh
刷卡	xuah ka
刷單	xuah dan
刷夜	xuah ie
刷子	xuah z
刷屏	xuah pig
刷扣	xuah keu
刷新	xuah sin
刷新紀錄	xuah sin ci lu
刷機	xuah ci
刷洗	xuah si
刷爆	xuah bau
刷牙	xuah gia
刷臉	xuah liam
刷題	xuah ti
券	cui/
券	kyan>
券商	kyan xag
刺	ts/
刺	ts>
刺中	ts jug
刺五加	ts gu cia
刺傷	ts xag
刺兒	ts r
刺兒李	ts r li
刺兒話	ts r hua
刺兒頭	ts r teu
刺刀	ts dau
刺刺不休	ts ts bu hiu
刺史	ts x
刺字	ts z
刺客	ts keh
刺戟	ts cih
刺戳	ts txue
刺探	ts tam
刺柏	ts baih
刺桐	ts tug
刺棱	ts lg
刺槐	ts huai
刺死	ts s
刺殺	ts xa
刺激	ts ci
刺激劑	ts ci zi
刺激性	ts ci sig
刺激物	ts ci uh
刺痛	ts tug
刺目	ts muh
刺眼	ts gian
刺破	ts pue
刺穿	ts txuan
刺絲囊	ts s nag
刺絲胞	ts s bau
刺絲胞動物	ts s bau dug uh
刺繡	ts siu
刺繡品	ts siu pim
刺耳	ts er
刺胞	ts bau
刺胞動物	ts bau dug uh
刺花	ts hua
刺花紋	ts hua un
刺芹菇	ts kin cu
刺莧	ts hian
刺蝟	ts ui
刺身	ts xn
刺鋼絲	ts cag s
刺青	ts kig
刺頭	ts teu
刺骨	ts cuh
刺鼻	ts bi
刻	hih/
刻	keh>
刻不容緩	keh bu rug huan
刻剝	keh bue
刻印	keh in
刻奇	keh ki
刻寫	keh sie
刻度	keh du
刻度盤	keh du pan
刻意	keh i
刻意求工	keh i kiu cug
刻意為之	keh i ui j
刻日	keh rh
刻期	keh ki
刻本	keh bn
刻板	keh ban
刻板印象	keh ban in siag
刻毒	keh duh
刻版	keh ban
刻畫	keh hua
刻痕	keh hn
刻絲	keh s
刻舟求劍	keh jeu kiu cian
刻苦	keh ku
刻苦耐勞	keh ku nai lau
刻苦鑽研	keh ku zuan gian
刻薄	keh bueh
刻薄寡恩	keh bueh cua en
刻錄	keh lu
刻錄機	keh lu ci
刻骨	keh cuh
刻骨相思	keh cuh siag s
刻骨銘心	keh cuh mig sim
刻鵠類鶩	keh huh lei u
刼	cie<
刾	ts>
剁	cy>
剁	due>
剁手節	due xeu zieh
剁手黨	due xeu dag
剁碎	due sui
剃	nai>
剃	ti>
剃光頭	ti cuag teu
剃刀	ti dau
剃度	ti du
剃頭	ti teu
剃頭挑子一頭熱	ti teu tiau z ih teu reh
剃髮令	ti fah lig
剃髮留辮	ti fah liu bian
剃鬚刀	ti sy dau
剃鬚膏	ti sy cau
剄	cig\
剄	hua<
剅	leu<
剆	li>
剆	lue\
則	ceuh>
則	zeh<
則個	zeh ce
則步隆	zeh bu lug
則辣黑	zeh la heih
剉	tsue>
剉冰	tsue big
剉屍	tsue x
削	mah>
削	siauh/
削	syeh/
削價	syeh cia
削尖	siauh ziam
削弱	syeh rueh
削波	syeh bue
削減	syeh ciam
削球	siauh kiu
削瘦	syeh xeu
削籍	syeh zih
削職	syeh jh
削職為民	syeh jh ui min
削足適履	syeh zu xh ly
削鉛筆	siauh kian bih
削鉛筆機	siauh kian bih ci
削除	syeh txu
削髮	syeh fah
剋	keh>
剋	keih/
剋	tg<
剋扣	keh keu
剋星	keh sig
剋架	keih cia
剌	dah<
剌	lah<
剌	lah>
前	tsian<
前一向	tsian ih hiag
前一天	tsian ih tian
前三甲	tsian sam ciah
前不久	tsian bu ciu
前世	tsian x
前世姻緣	tsian x in yan
前事	tsian x
前些	tsian sie
前人	tsian rn
前仆後繼	tsian pu heu ci
前仰後合	tsian giag heu heh
前件	tsian cian
前任	tsian rm
前來	tsian lai
前例	tsian li
前信號燈	tsian sin hau dg
前俯後仰	tsian fu heu giag
前倨後恭	tsian cy heu cug
前備箱	tsian bei siag
前傳	tsian juan
前傳	tsian txuan
前傾	tsian kig
前兆	tsian jau
前兒	tsian r
前冠	tsian cuan
前凸後翹	tsian tuh heu kiau
前列	tsian lie
前列腺	tsian lie hian
前列腺炎	tsian lie hian iam
前列腺素	tsian lie hian su
前功盡棄	tsian cug zin ki
前半夜	tsian ban ie
前半天	tsian ban tian
前半天兒	tsian ban tian r
前半晌	tsian ban xag
前半晌兒	tsian ban xag r
前半生	tsian ban xg
前叉	tsian txa
前咽	tsian ian
前哨	tsian xau
前哨戰	tsian xau jan
前因	tsian in
前因後果	tsian in heu cue
前塵	tsian txn
前夕	tsian sih
前夜	tsian ie
前大燈	tsian da dg
前天	tsian tian
前夫	tsian fu
前奏	tsian zeu
前奏曲	tsian zeu kyh
前女友	tsian ny iu
前妻	tsian tsi
前嫌	tsian hiam
前寒武紀	tsian han u ci
前導	tsian dau
前年	tsian nian
前幾天	tsian ci tian
前庭	tsian tig
前庭窗	tsian tig txuag
前廊	tsian lag
前廳	tsian tig
前往	tsian uag
前後	tsian heu
前後文	tsian heu un
前怕狼後怕虎	tsian pa lag heu pa hu
前情	tsian tsig
前意識	tsian i x
前戲	tsian hi
前房角	tsian fag ciauh
前所未有	tsian sue ui iu
前所未聞	tsian sue ui un
前所未見	tsian sue ui cian
前排	tsian pai
前掠翼	tsian lye ih
前提	tsian ti
前提條件	tsian ti tiau cian
前揭	tsian cie
前擺	tsian bai
前敵	tsian dih
前方	tsian fag
前方高能	tsian fag cau ng
前日	tsian rh
前晌	tsian xag
前景	tsian cig
前景可期	tsian cig ke ki
前朝	tsian txau
前期	tsian ki
前桅	tsian ui
前橋	tsian kiau
前此	tsian ts
前段	tsian duan
前段時間	tsian duan x cian
前沿	tsian ian
前涼	tsian liag
前漢	tsian han
前漢書	tsian han xu
前無古人	tsian u cu rn
前照燈	tsian jau dg
前燈	tsian dg
前燕	tsian ian
前生	tsian xg
前田	tsian tian
前甲板	tsian ciah ban
前男友	tsian nam iu
前瞻	tsian jam
前瞻性	tsian jam sig
前科	tsian ke
前秦	tsian tsin
前移式叉車	tsian i xh txa txe
前程	tsian txg
前程遠大	tsian txg yan da
前空翻	tsian kug fan
前端	tsian duan
前端總線	tsian duan zug sian
前綴	tsian jui
前線	tsian sian
前緣未了	tsian yan ui liau
前總理	tsian zug li
前總統	tsian zug tug
前置	tsian j
前置修飾語	tsian j siu xh gy
前置詞	tsian j ts
前翅	tsian tx
前者	tsian je
前肢	tsian j
前胃	tsian ui
前胸	tsian hyg
前胸貼後背	tsian hyg tieh heu bei
前腳	tsian ciauh
前腿	tsian tui
前臂	tsian bi
前臺	tsian tai
前臼齒	tsian ciu tx
前艙	tsian tsag
前茅	tsian mau
前菜	tsian tsai
前蘇聯	tsian su lian
前行	tsian hig
前衛	tsian ui
前言	tsian gian
前調	tsian diau
前赴後繼	tsian fu heu ci
前趙	tsian jau
前路	tsian lu
前身	tsian xn
前車之鑑	tsian txe j ciam
前車之鑒	tsian txe j cian
前輩	tsian bei
前輪	tsian lun
前述	tsian xuh
前途	tsian tu
前途未卜	tsian tu ui buh
前途渺茫	tsian tu miau mag
前途無量	tsian tu u liag
前進	tsian zin
前進區	tsian zin ky
前邊	tsian bian
前邊兒	tsian bian r
前部	tsian bu
前郭爾羅斯蒙古族自治縣	tsian cueh er lue s mg cu zuh z j hian
前郭縣	tsian cueh hian
前郭鎮	tsian cueh jn
前金	tsian cim
前金區	tsian cim ky
前鋒	tsian fg
前鋸肌	tsian cy ci
前鎮	tsian jn
前鎮區	tsian jn ky
前門	tsian mn
前院	tsian yan
前面	tsian mian
前頭	tsian teu
前額	tsian geh
前額葉皮質	tsian geh ieh pi j
前首相	tsian xeu siag
前驅	tsian ky
前體	tsian ti
前鼻音	tsian bi im
剎	txa>
剎	xa/
剎不住	xa bu ju
剎住	xa ju
剎停	xa tig
剎把	xa ba
剎時	txa x
剎車	xa txe
剎車燈	xa txe dg
剎那	txa na
剏	txuag>
剒	tsueh>
剒	ziauh\
剔	cg\
剔	tih/
剔牙	tih gia
剔透	tih teu
剔除	tih txu
剕	fei>
剕	mg>
剖	pue\
剖	puu/
剖	ui>
剖宮產	puu cug txan
剖宮產手術	puu cug txan xeu xuh
剖析	puu sih
剖白	puu baih
剖肝瀝膽	puu can lih dam
剖腹	puu fuh
剖腹產	puu fuh txan
剖腹產手術	puu fuh txan xeu xuh
剖腹自殺	puu fuh z xa
剖腹藏珠	puu fuh tsag ju
剖視	puu x
剖視圖	puu x tu
剖解	puu cie
剖解圖	puu cie tu
剖辯	puu bian
剖面	puu mian
剗	txan\
剙	txuag>
剚	z>
剛	cag/
剛一	cag ih
剛健	cag cian
剛剛	cag cag
剛勁	cag cig
剛好	cag hau
剛察	cag txah
剛察縣	cag txah hian
剛巧	cag kiau
剛度	cag du
剛強	cag kiag
剛性	cag sig
剛愎	cag bih
剛愎自用	cag bih z yg
剛才	cag tsai
剛朵拉	cag due lah
剛果	cag cue
剛果民主共和國	cag cue min ju cug he cueh
剛果河	cag cue he
剛架	cag cia
剛柔並濟	cag reu big zi
剛正	cag jg
剛正不阿	cag jg bu e
剛毅	cag gi
剛毅木訥	cag gi muh neh
剛毛	cag mau
剛烈	cag lieh
剛玉	cag gyh
剛直	cag jh
剛纔	cag tsai
剛需	cag sy
剛體	cag ti
剜	txn<
剜	uan/
剝	bau/
剝	bue/
剝	deu/
剝削	bue syeh
剝削者	bue syeh je
剝削階級	bue syeh cie cih
剝啄	bue jueh
剝奪	bue dueh
剝掉	bue diau
剝採比	bue tsai bi
剝皮	bau pi
剝皮器	bue pi ki
剝皮鉗	bau pi kiam
剝落	bue lueh
剝蝕	bue xh
剝離	bue li
剞	ci/
剞劂	ci cyeh
剟	dueh/
剟	pan<
剡	iam\
剡	xam>
剣	cian>
剤	ci>
剩	xg>
剩下	xg hia
剩女	xg ny
剩磁	xg ts
剩菜	xg tsai
剩錢	xg tsian
剩飯	xg fan
剩餘	xg y
剩餘價值	xg y cia j
剩餘定理	xg y dig li
剩餘放射性	xg y fag xe sig
剩餘輻射	xg y fu xe
剪	zian\
剪刀	zian dau
剪刀差	zian dau txa
剪刀手	zian dau xeu
剪刀石頭布	zian dau xh teu bu
剪切	zian tsie
剪切力	zian tsie lih
剪切形變	zian tsie hig bian
剪切板	zian tsie ban
剪力	zian lih
剪嘴鷗	zian zui eu
剪報	zian bau
剪子	zian z
剪彩	zian tsai
剪影	zian ig
剪徑	zian cig
剪應力	zian ig lih
剪成	zian txg
剪掉	zian diau
剪接	zian zieh
剪接體	zian zieh ti
剪斷	zian duan
剪映	zian ig
剪枝	zian j
剪片	zian pian
剪紙	zian j
剪綵	zian tsai
剪草機	zian tsau ci
剪草除根	zian tsau txu cn
剪裁	zian tsai
剪貼板	zian tieh ban
剪貼簿	zian tieh bu
剪輯	zian zih
剪除	zian txu
剪頭	zian teu
剪頭髮	zian teu fah
剫	dueh<
剬	duan/
剭	uh/
剮	cua\
副	fu>
副主任	fu ju rm
副主席	fu ju sih
副作用	fu zue yg
副傷寒	fu xag han
副刊	fu kan
副司令	fu s lig
副品	fu pim
副國務卿	fu cueh u kig
副地級市	fu di cih x
副官	fu cuan
副室	fu xh
副將	fu ziag
副州長	fu jeu jag
副市長	fu x jag
副手	fu xeu
副教授	fu ciau xeu
副書記	fu xu ci
副本	fu bn
副校長	fu hiau jag
副業	fu gieh
副標題	fu biau ti
副檔名	fu dag mig
副歌	fu ce
副法向量	fu fah hiag liag
副熱帶	fu reh dai
副理	fu li
副產品	fu txan pim
副產物	fu txan uh
副甲狀腺	fu ciah juag hian
副甲狀腺素	fu ciah juag hian su
副相	fu siag
副省級	fu xg cih
副省級城市	fu xg cih txg x
副科	fu ke
副秘書長	fu mi xu jag
副經理	fu cig li
副總理	fu zug li
副總統	fu zug tug
副總裁	fu zug tsai
副翼	fu ih
副腎	fu xn
副菜	fu tsai
副詞	fu ts
副議長	fu gi jag
副部長	fu bu jag
副院長	fu yan jag
副題	fu ti
副食	fu x
副食品	fu x pim
副駕駛	fu cia x
副駕駛員	fu cia x yan
副駕駛座	fu cia x zue
副黏液病毒	fu niam ieh big duh
剰	xg>
割	ceh/
割傷	ceh xag
割包	cuah bau
割包皮	ceh bau pi
割取	ceh tsy
割席	ceh sih
割愛	ceh ai
割捨	ceh xe
割接	ceh zieh
割損	ceh sun
割據	ceh cy
割斷	ceh duan
割棄	ceh ki
割禮	ceh li
割線	ceh sian
割肉	ceh reuh
割股療親	ceh cu liau tsin
割腕	ceh uan
割草	ceh tsau
割草機	ceh tsau ci
割袍斷義	ceh pau duan gi
割裂	ceh lieh
割讓	ceh rag
割除	ceh txu
割雞焉用牛刀	ceh ci ian yg niu dau
剳	da<
剳	ja<
剴	kai\
剴	mi>
剴切	kai tsie
創	ma<
創	txuag/
創	txuag>
創下	txuag hia
創下高票房	txuag hia cau piau fag
創世	txuag x
創世紀	txuag x ci
創世記	txuag x ci
創世論	txuag x lun
創作	txuag zue
創作力	txuag zue lih
創作者	txuag zue je
創傷	txuag xag
創傷後壓力症候群	txuag xag heu iah lih jg heu kyn
創傷後應激障礙	txuag xag heu ig ci jag gai
創價學會	txuag cia hyeh hui
創優	txuag iu
創刊	txuag kan
創刊號	txuag kan hau
創利	txuag li
創制	txuag j
創匯	txuag hui
創口	txuag keu
創口貼	txuag keu tieh
創可貼	txuag ke tieh
創始	txuag x
創始人	txuag x rn
創始者	txuag x je
創巨痛深	txuag cy tug xm
創建	txuag cian
創建者	txuag cian je
創意	txuag i
創投基金	txuag teu ci cim
創收	txuag xeu
創新	txuag sin
創新精神	txuag sin zig xn
創業	txuag gieh
創業投資	txuag gieh teu z
創業精神	txuag gieh zig xn
創業者	txuag gieh je
創牌子	txuag pai z
創痕	txuag hn
創痛	txuag tug
創立	txuag lih
創立人	txuag lih rn
創立者	txuag lih je
創練	txuag lian
創舉	txuag cy
創見	txuag cian
創見性	txuag cian sig
創記錄	txuag ci lu
創設	txuag xeh
創譯	txuag ih
創議	txuag gi
創辦	txuag ban
創辦人	txuag ban rn
創辦者	txuag ban je
創造	txuag zau
創造主	txuag zau ju
創造力	txuag zau lih
創造性	txuag zau sig
創造者	txuag zau je
創造論	txuag zau lun
剷	ki/
剷	txan\
剷平	txan pig
剷除	txan txu
剸	kg/
剸	tuan<
剹	luh>
剺	die<
剺	li<
剻	ki>
剻	pg\
剼	ciau/
剼	xan/
剽	kag/
剽	piau/
剽	piau>
剽悍	piau han
剽竊	piau tsieh
剿	ciau\
剿	mi>
剿	txau/
剿匪	ciau fei
剿滅	ciau mieh
剿襲	txau sih
剿說	txau xue
劀	cuah/
劀	xan/
劁	tsiau/
劂	cyeh<
劃	huah<
劃	huah>
劃一	huah ih
劃一不二	huah ih bu er
劃下	huah hia
劃位	huah ui
劃傷	huah xag
劃價	huah cia
劃分	huah fn
劃切	huah tsie
劃十字	huah xh z
劃圓防守	huah yan fag xeu
劃定	huah dig
劃掉	huah diau
劃撥	huah bueh
劃時代	huah x dai
劃歸	huah cui
劃清	huah tsig
劃痕	huah hn
劃破	huah pue
劃等號	huah dg hau
劃線	huah sian
劃線板	huah sian ban
劃花	huah hua
劃過	huah cue
劃重點	huah jug diam
劄	jah/
劄	jah<
劇	cian/
劇	cyh>
劇作家	cyh zue cia
劇團	cyh tuan
劇場	cyh txag
劇增	cyh zg
劇壇	cyh tan
劇情	cyh tsig
劇本	cyh bn
劇本殺	cyh bn xa
劇毒	cyh duh
劇烈	cyh lieh
劇照	cyh jau
劇痛	cyh tug
劇目	cyh muh
劇社	cyh xe
劇終	cyh jug
劇組	cyh zu
劇荒	cyh huag
劇變	cyh bian
劇透	cyh teu
劇院	cyh yan
劇集	cyh zih
劈	lih<
劈	pih/
劈	pih\
劈叉	pih txa
劈哩啪啦	pih li pa la
劈啪	pih pa
劈情操	pih tsig tsau
劈手	pih xeu
劈掛拳	pih cua kyan
劈柴	pih txai
劈理	pih li
劈空扳害	pih kug ban hai
劈腿	pih tui
劈臉	pih liam
劈裂	pih lieh
劈里啪啦	pih li pa la
劈開	pih kai
劈離	pih li
劈面	pih mian
劈頭	pih teu
劈頭蓋臉	pih teu cai liam
劉	ke>
劉	liu<
劉伯溫	liu bueh un
劉備	liu bei
劉光第	liu cuag di
劉公島	liu cug dau
劉劍峰	liu cian fg
劉厚總	liu heu zug
劉向	liu hiag
劉基	liu ci
劉天華	liu tian hua
劉奭	liu xh
劉姥姥進大觀園	liu lau lau zin da cuan yan
劉安	liu an
劉宋	liu sug
劉宋時代	liu sug x dai
劉家村	liu cia tsun
劉家輝	liu cia hui
劉少奇	liu xau ki
劉師培	liu x pei
劉德華	liu deh hua
劉心武	liu sim u
劉恆	liu hg
劉慈欣	liu ts hin
劉昫	liu hy
劉曉波	liu hiau bue
劉松齡	liu sug lig
劉毅	liu gi
劉洋	liu iag
劉海	liu hai
劉涓子	liu cyan z
劉涓子鬼遺方	liu cyan z cui i fag
劉淵	liu yan
劉熙	liu hi
劉禪	liu xan
劉禹錫	liu y sih
劉義慶	liu gi kig
劉翔	liu siag
劉表	liu biau
劉裕	liu y
劉貴今	liu cui cim
劉賓雁	liu bin gian
劉邦	liu bag
劉金寶	liu cim bau
劉雲山	liu yn xan
劉青雲	liu kig yn
劉鶚	liu geh
劊	cui>
劊	hy>
劊子手	cui z xeu
劋	ziau\
劌	cui>
劍	cian>
劍嘴鶥	cian zui mei
劍客	cian keh
劍尖	cian ziam
劍川	cian txuan
劍川縣	cian txuan hian
劍拔弩張	cian bah nu jag
劍指	cian j
劍柄	cian big
劍標	cian biau
劍橋	cian kiau
劍橋大學	cian kiau da hyeh
劍河	cian he
劍河縣	cian he hian
劍法	cian fah
劍眉星目	cian mei sig muh
劍術	cian xuh
劍走偏鋒	cian zeu pian fg
劍走蜻蛉	cian zeu tsig lig
劍身	cian xn
劍道	cian dau
劍閣	cian ceh
劍閣縣	cian ceh hian
劍魚	cian gy
劍魚座	cian gy zue
劍鴴	cian hg
劍麻	cian ma
劍齒虎	cian tx hu
劍龍	cian lug
劐	hueh/
劐	hueh>
劐弄	hueh lg
劑	man<
劑	zi>
劑型	zi hig
劑子	zi z
劑次	zi ts
劑量	zi liag
劑量當量	zi liag dag liag
劒	cian>
劓	gi>
劓	txan>
劖	txan<
劗	zian\
劘	mue<
劙	li<
力	lih>
力不勝任	lih bu xg rm
力不從心	lih bu tsug sim
力主	lih ju
力作	lih zue
力促	lih tsuh
力保	lih bau
力保健	lih bau cian
力偶	lih geu
力傳遞	lih txuan di
力克	lih keh
力圖	lih tu
力場	lih txag
力士	lih x
力大無比	lih da u bi
力大無窮	lih da u kyg
力嬌酒	lih ciau ziu
力學	lih hyeh
力學傳遞	lih hyeh txuan di
力學波	lih hyeh bue
力寶	lih bau
力帆	lih fam
力度	lih du
力征	lih jg
力心	lih sim
力戒	lih cie
力戰	lih jan
力所不及	lih sue bu cih
力所能及	lih sue ng cih
力拓	lih tueh
力拚	lih pan
力挫	lih tsue
力挺	lih tig
力挽狂瀾	lih uan kuag lan
力排眾議	lih pai jug gi
力攻	lih cug
力有未逮	lih iu ui dai
力比多	lih bi due
力氣	lih ki
力求	lih kiu
力波	lih bue
力爭	lih jg
力爭上游	lih jg xag iu
力畜	lih txu
力盡神危	lih zin xn gui
力矩	lih cy
力臂	lih bi
力薦	lih zian
力行	lih hig
力道	lih dau
力量	lih liag
力量均衡	lih liag cyn hg
力錢	lih tsian
力阻	lih zu
功	cug/
功不可沒	cug bu ke mue
功令	cug lig
功利	cug li
功利主義	cug li ju gi
功到自然成	cug dau z ran txg
功力	cug lih
功勛	cug hyn
功勞	cug lau
功名	cug mig
功名利祿	cug mig li lu
功夫	cug fu
功夫流感	cug fu liu cam
功夫球	cug fu kiu
功夫病毒	cug fu big duh
功夫茶	cug fu txa
功完行滿	cug uan hig man
功底	cug di
功德	cug deh
功德圓滿	cug deh yan man
功德無量	cug deh u liag
功成不居	cug txg bu cy
功成名就	cug txg mig ziu
功放	cug fag
功效	cug hiau
功敗垂成	cug bai txui txg
功業	cug gieh
功烈	cug lieh
功率	cug ly
功率惡化	cug ly e hua
功率輸出	cug ly xu txu
功用	cug yg
功績	cug zih
功罪	cug zui
功耗	cug hau
功能	cug ng
功能團	cug ng tuan
功能性	cug ng sig
功能性磁共振成像	cug ng sig ts cug jn txg siag
功能模塊	cug ng mue kuai
功能磁共振成像術	cug ng ts cug jn txg siag xuh
功能群	cug ng kyn
功能表	cug ng biau
功能詞	cug ng ts
功能集	cug ng zih
功臣	cug txn
功莫大焉	cug mueh da ian
功虧一簣	cug kui ih kui
功課	cug ke
功過	cug cue
功高不賞	cug cau bu xag
功高望重	cug cau uag jug
功高蓋主	cug cau cai ju
加	cia/
加上	cia xag
加之	cia j
加人一等	cia rn ih dg
加以	cia i
加來海峽	cia lai hai hiah
加侖	cia lun
加俸	cia fg
加俾額爾	cia bi geh er
加倉	cia tsag
加倍	cia bei
加值	cia j
加值型網路	cia j hig uag lu
加價	cia cia
加入	cia ruh
加冕	cia mian
加冠	cia cuan
加冰	cia big
加冰塊	cia big kuai
加分	cia fn
加利利	cia li li
加利福尼亞	cia li fu ni ia
加利福尼亞大學	cia li fu ni ia da hyeh
加利福尼亞大學洛杉磯分校	cia li fu ni ia da hyeh lueh xam ci fn hiau
加利福尼亞州	cia li fu ni ia jeu
加利福尼亞理工學院	cia li fu ni ia li cug hyeh yan
加利肋亞	cia li leih ia
加利西亞	cia li si ia
加劇	cia cyh
加加林	cia cia lim
加勁	cia cin
加勁兒	cia cin r
加勒比	cia leh bi
加勒比國家聯盟	cia leh bi cueh cia lian mg
加勒比海	cia leh bi hai
加吉魚	cia cih gy
加和	cia he
加哩	cia li
加固	cia cu
加國	cia cueh
加塞兒	cia sai r
加壓	cia iah
加壓釜	cia iah fu
加多寶	cia due bau
加大	cia da
加大力度	cia da lih du
加大努力	cia da nu lih
加大油門	cia da iu mn
加央	cia iag
加委	cia ui
加官	cia cuan
加官晉爵	cia cuan zin zyeh
加官晉級	cia cuan zin cih
加官進位	cia cuan zin ui
加官進爵	cia cuan zin zyeh
加官進祿	cia cuan zin lu
加害	cia hai
加密	cia mih
加密套接字協議層	cia mih tau zieh z hieh gi tsg
加密貨幣	cia mih hue bi
加寬	cia kuan
加封	cia fg
加封官階	cia fg cuan cie
加州	cia jeu
加州大學	cia jeu da hyeh
加州理工學院	cia jeu li cug hyeh yan
加工	cia cug
加工廠	cia cug txag
加工成本	cia cug txg bn
加工貿易	cia cug mau i
加強	cia kiag
加強管制	cia kiag cuan j
加強針	cia kiag jm
加彭	cia pg
加徵	cia jg
加德士	cia deh x
加德滿都	cia deh man du
加德納	cia deh nah
加德西	cia deh si
加快	cia kuai
加急	cia cih
加息	cia sih
加意	cia i
加拉加斯	cia lah cia s
加拉太書	cia lah tai xu
加拉巴哥斯	cia lah ba ce s
加拉巴哥斯群島	cia lah ba ce s kyn dau
加拉帕戈斯群島	cia lah pah ce s kyn dau
加拉罕	cia lah han
加拿大	cia na da
加拿大太平洋鐵路	cia na da tai pig iag tieh lu
加拿大皇家	cia na da huag cia
加拿大皇家海軍	cia na da huag cia hai cyn
加拿大雁	cia na da gian
加持	cia tx
加數	cia xu
加料	cia liau
加料鋼琴	cia liau cag kim
加時	cia x
加時賽	cia x sai
加格達奇	cia ceh dah ki
加格達奇區	cia ceh dah ki ky
加權	cia kyan
加權平均	cia kyan pig cyn
加氟	cia fu
加氣	cia ki
加氫油	cia kig iu
加沃特	cia ueh teh
加沙	cia xa
加沙地帶	cia xa di dai
加油	cia iu
加油工	cia iu cug
加油槍	cia iu tsiag
加油添醋	cia iu tiam tsu
加油站	cia iu jam
加法	cia fah
加注	cia ju
加泰羅尼亞	cia tai lue ni ia
加派	cia pai
加深	cia xm
加深印象	cia xm in siag
加深理解	cia xm li cie
加添	cia tiam
加減乘除	cia ciam txg txu
加減號	cia ciam hau
加溫	cia un
加滿	cia man
加演	cia ian
加濕器	cia xh ki
加熱	cia reh
加爾各答	cia er ceh dah
加爾文	cia er un
加特林	cia teh lim
加特林機槍	cia teh lim ci tsiag
加班	cia ban
加班費	cia ban fei
加甜	cia tiam
加百列	cia baih lie
加的夫	cia deh fu
加的斯	cia dih s
加盟	cia mg
加盟店	cia mg diam
加碼	cia ma
加粗	cia tsu
加納	cia nah
加索爾	cia sueh er
加緊	cia cin
加總	cia zug
加繆	cia miu
加羅林群島	cia lue lim kyn dau
加航	cia hag
加茲尼	cia z ni
加茲尼省	cia z ni xg
加菲貓	cia fei mau
加蓋	cia cai
加蓬	cia pg
加薪	cia sin
加藤	cia tg
加號	cia hau
加西亞	cia si ia
加試	cia x
加護	cia hu
加護病房	cia hu big fag
加購	cia ceu
加賽	cia sai
加足馬力	cia zu ma lih
加車	cia txe
加載	cia zai
加辣	cia la
加農	cia nug
加農炮	cia nug pau
加速	cia suh
加速器	cia suh ki
加速度	cia suh du
加速踏板	cia suh tah ban
加進	cia zin
加達里	cia dah li
加那利群島	cia na li kyn dau
加里	cia li
加里寧格勒	cia li nig ceh leh
加里寧格勒州	cia li nig ceh leh jeu
加里曼丹	cia li man dan
加里曼丹島	cia li man dan dau
加里波第	cia li bue di
加里肋亞	cia li leih ia
